year,month,date,hour,minute,second,et,x_cur,y_cur,x_log,y_log,z_log,yaw,bat
2024,11,20,15,30,24,6446.455,-0.009,0.033,-0.009,0.033,0.3,3.933,3.257
2024,11,20,15,30,24,6545.487,-0.007,0.029,-0.007,0.029,0.343,3.92,3.299
2024,11,20,15,30,24,6645.657,-0.006,0.025,-0.006,0.025,0.38,3.755,3.273
2024,11,20,15,30,24,6748.935,-0.004,0.016,-0.004,0.016,0.415,3.455,3.299
2024,11,20,15,30,24,6848.415,-0.008,0.02,-0.008,0.02,0.455,2.576,3.283
2024,11,20,15,30,24,6944.881,-0.018,0.025,-0.018,0.025,0.487,1.499,3.283
2024,11,20,15,30,24,7046.196,-0.03,0.034,-0.03,0.034,0.514,0.92,3.257
2024,11,20,15,30,24,7147.527,-0.042,0.039,-0.042,0.039,0.541,0.536,3.246
2024,11,20,15,30,25,7245.307,-0.053,0.042,-0.053,0.042,0.562,0.117,3.241
2024,11,20,15,30,25,7344.872,-0.062,0.044,-0.062,0.044,0.592,-0.247,3.23
2024,11,20,15,30,25,7444.566,-0.074,0.047,-0.074,0.047,0.622,-0.559,3.289
2024,11,20,15,30,25,7546.228,-0.079,0.048,-0.079,0.048,0.654,-1.202,3.267
2024,11,20,15,30,25,7646.256,-0.072,0.039,-0.072,0.039,0.684,-1.976,3.299
2024,11,20,15,30,25,7747.132,-0.072,0.041,-0.072,0.041,0.713,-2.634,3.267
2024,11,20,15,30,25,7843.609,-0.075,0.041,-0.075,0.041,0.736,-2.81,3.262
2024,11,20,15,30,25,7943.985,-0.075,0.034,-0.075,0.034,0.761,-2.514,3.246
2024,11,20,15,30,25,8044.578,-0.076,0.019,-0.076,0.019,0.784,-1.837,3.273
2024,11,20,15,30,25,8145.333,-0.086,0.023,-0.086,0.023,0.809,-1.154,3.241
2024,11,20,15,30,26,8248.509,-0.095,0.032,-0.095,0.032,0.834,-0.178,3.273
2024,11,20,15,30,26,8343.856,-0.104,0.037,-0.104,0.037,0.858,0.993,3.241
2024,11,20,15,30,26,8446.755,-0.116,0.043,-0.116,0.043,0.881,1.712,3.257
2024,11,20,15,30,26,8543.977,-0.122,0.048,-0.122,0.048,0.905,1.996,3.241
2024,11,20,15,30,26,8644.142,-0.123,0.047,-0.123,0.047,0.925,2.043,3.262
2024,11,20,15,30,26,8747.736,-0.128,0.047,-0.128,0.047,0.95,2.186,3.225
2024,11,20,15,30,26,8843.326,-0.119,0.053,-0.119,0.053,0.971,2.28,3.267
2024,11,20,15,30,26,8948.317,-0.111,0.052,-0.111,0.052,0.991,2.418,3.215
2024,11,20,15,30,26,9044.004,-0.121,0.071,-0.121,0.071,1.011,2.438,3.225
2024,11,20,15,30,26,9143.194,-0.126,0.071,-0.126,0.071,1.035,2.181,3.283
2024,11,20,15,30,27,9246.226,-0.131,0.07,-0.131,0.07,1.055,1.685,3.273
2024,11,20,15,30,27,9343.423,-0.136,0.055,-0.136,0.055,1.075,0.765,3.278
2024,11,20,15,30,27,9442.983,-0.141,0.035,-0.141,0.035,1.087,-0.053,3.278
2024,11,20,15,30,27,9544.421,-0.143,0.017,-0.143,0.017,1.099,-0.338,3.262
2024,11,20,15,30,27,9648.846,-0.146,-0.005,-0.146,-0.005,1.106,-0.435,3.257
2024,11,20,15,30,27,9747.415,-0.147,-0.024,-0.147,-0.024,1.112,-0.339,3.267
2024,11,20,15,30,27,9842.540,-0.141,-0.031,-0.141,-0.031,1.119,-0.093,3.278
2024,11,20,15,30,27,9942.959,-0.15,-0.054,-0.15,-0.054,1.12,0.589,3.267
2024,11,20,15,30,27,10041.942,-0.149,-0.058,-0.149,-0.058,1.118,1.358,3.252
2024,11,20,15,30,27,10147.486,-0.152,-0.061,-0.152,-0.061,1.109,2.1,3.209
2024,11,20,15,30,28,10244.598,-0.15,-0.051,-0.15,-0.051,1.103,2.022,3.199
2024,11,20,15,30,28,10342.683,-0.154,-0.024,-0.154,-0.024,1.096,1.296,3.204
2024,11,20,15,30,28,10444.321,-0.15,-0.004,-0.15,-0.004,1.089,0.6,3.194
2024,11,20,15,30,28,10541.778,-0.153,0.007,-0.153,0.007,1.082,-0.373,3.194
2024,11,20,15,30,28,10643.123,-0.156,0.02,-0.156,0.02,1.078,-1.181,3.183
2024,11,20,15,30,28,10741.855,-0.14,0.03,-0.14,0.03,1.078,-1.632,3.215
2024,11,20,15,30,28,10845.470,-0.13,0.029,-0.13,0.029,1.081,-2.101,3.225
2024,11,20,15,30,28,10941.751,-0.128,0.014,-0.128,0.014,1.091,-2.813,3.252
2024,11,20,15,30,28,11044.095,-0.114,-0.004,-0.114,-0.004,1.096,-3.36,3.241
2024,11,20,15,30,28,11143.420,-0.088,-0.003,-0.088,-0.003,1.096,-4.049,3.23
2024,11,20,15,30,29,11241.216,-0.068,-0.022,-0.068,-0.022,1.094,-2.922,3.225
2024,11,20,15,30,29,11341.465,-0.058,-0.027,-0.058,-0.027,1.089,-1.102,3.225
2024,11,20,15,30,29,11442.866,-0.049,-0.006,-0.049,-0.006,1.079,-0.263,3.188
2024,11,20,15,30,29,11549.965,-0.042,0.004,-0.042,0.004,1.073,-0.393,3.178
2024,11,20,15,30,29,11640.851,-0.034,0.013,-0.034,0.013,1.067,-1.299,3.172
2024,11,20,15,30,29,11741.651,-0.022,0.032,-0.022,0.032,1.062,-2.428,3.188
2024,11,20,15,30,29,11845.191,-0.015,0.035,-0.015,0.035,1.056,-3.417,3.157
2024,11,20,15,30,29,11940.734,0.0,0.051,0.0,0.051,1.055,-3.516,3.188
2024,11,20,15,30,29,12041.498,0.018,0.054,0.018,0.054,1.055,-2.711,3.178
2024,11,20,15,30,29,12140.801,0.032,0.05,0.032,0.05,1.057,-2.212,3.199
2024,11,20,15,30,30,12240.717,0.049,0.051,0.049,0.051,1.063,-2.262,3.209
2024,11,20,15,30,30,12341.318,0.062,0.051,0.062,0.051,1.068,-1.871,3.215
2024,11,20,15,30,30,12445.411,0.071,0.055,0.071,0.055,1.063,-1.369,3.199
2024,11,20,15,30,30,12541.222,0.081,0.054,0.081,0.054,1.064,-1.563,3.167
2024,11,20,15,30,30,12640.031,0.107,0.056,0.107,0.056,1.064,-1.542,3.194
2024,11,20,15,30,30,12742.964,0.12,0.055,0.12,0.055,1.065,-0.822,3.199
